"quarter","latest_vintage_date","gdp_growth_latest","recession_latest","ciss_latest","pmi_latest","ciss_last_date_latest","pmi_last_release_date_latest","pmi_months_available_latest","prob_recession_latest","lower_95_latest","upper_95_latest"
"1998-Q3",2026-05-13,0.527894548468266,0,0.108029757575758,55.8666666666667,1998-09-30,1998-09-26,3,0.00504811455530574,0.000208267209421569,0.0219886104528991
"1998-Q4",2026-05-13,0.303446562507492,0,0.259969,52.3333333333333,1998-12-31,1998-12-26,3,0.0294493217766258,0.00403647369311404,0.0851535165582134
"1999-Q1",2026-05-13,1.00143379713413,0,0.135954483259366,52.4,1999-03-31,1999-03-26,3,0.025554814603459,0.00433999400623429,0.0685217819260653
"1999-Q2",2026-05-13,0.480708739656488,0,0.0500497832122544,55.1333333333333,1999-06-30,1999-06-26,3,0.00670275487179604,0.000380484607005308,0.0262919143962957
"1999-Q3",2026-05-13,1.31199153485897,0,0.163196959413004,58.3333333333333,1999-09-30,1999-09-26,3,0.00196396273649082,2.30057178549846e-05,0.01090327831872
"1999-Q4",2026-05-13,1.05991304351936,0,0.185673824672592,59.9666666666667,1999-12-31,1999-12-26,3,0.00111036783679161,5.53732052675477e-06,0.00682188570618853
"2000-Q1",2026-05-13,1.27816692528053,0,0.187231301597962,59.7,2000-03-31,2000-03-26,3,0.001225392136493,6.92629590844707e-06,0.00737908177418344
"2000-Q2",2026-05-13,0.905532566982203,0,0.270015671518326,61.7666666666667,2000-06-30,2000-06-26,3,0.000714648745471141,9.67998476625033e-07,0.00496698865621898
"2000-Q3",2026-05-13,0.672246359065909,0,0.139376360370429,60.0333333333333,2000-09-29,2000-09-26,3,0.00100379431195645,5.04411610217808e-06,0.00628903252209393
"2000-Q4",2026-05-13,0.475107578673373,0,0.21526873917178,56.6,2000-12-29,2000-12-26,3,0.00422540831357573,0.000104744556541484,0.0197644715561126
"2001-Q1",2026-05-13,1.10102192695398,0,0.214464148871117,54.1666666666667,2001-03-30,2001-03-26,3,0.0119841843295291,0.000941028087688189,0.043434761880501
"2001-Q2",2026-05-13,0.0447517888908733,0,0.224594371530455,51.6,2001-06-29,2001-06-26,3,0.0403075198361114,0.00795763253571349,0.101239816933959
"2001-Q3",2026-05-13,0.21236907497213,0,0.166768892052641,49.8,2001-09-28,2001-09-26,3,0.0945528902991928,0.0330263044863967,0.184334152306003
"2001-Q4",2026-05-13,-0.0554168893680762,0,0.177355048413404,46.4333333333333,2001-12-31,2001-12-26,3,0.408893388392262,0.16971324979044,0.674251580750878
"2002-Q1",2026-05-13,0.225114545518323,0,0.0990823357470997,51.4666666666667,2002-03-29,2002-03-26,3,0.0399452128308324,0.008918427362222,0.0967766773088897
"2002-Q2",2026-05-13,0.465083124456878,0,0.0455625164710321,53.1,2002-06-28,2002-06-26,3,0.0174769685749204,0.00215105518167476,0.052230864630023
"2002-Q3",2026-05-13,0.459880145578606,0,0.119179424104307,51.2,2002-09-30,2002-09-26,3,0.0459824712233233,0.0113073728621474,0.107895393808024
