"vintage_date","target_quarter","release_round","days_after_quarter_end","gdp_growth_vintage","recession_vintage","ciss_as_of","pmi_as_of","ciss_last_date","pmi_last_release_date","pmi_months_available","training_observations","training_recessions","ciss_training_mean","ciss_training_sd","pmi_training_mean","pmi_training_sd","prob_recession","lower_95","upper_95","status","error_message"
2014-11-14,"2014-Q3",1,45,0.161347516532917,0,0.0129784056448137,52.7666666666667,2014-09-30,2014-09-26,3,64,10,0.194374062392903,0.195869868723785,52.7588541666667,4.71505428789857,0.0108992618914578,0.000198440701699123,0.0513018220919045,"ok",
2015-02-13,"2014-Q4",1,44,0.339919441124859,0,0.0232098560842145,51.5333333333333,2014-12-31,2014-12-26,3,65,9,0.191583359981394,0.195631729430754,52.7589743589744,4.67807299934273,0.0404948163869879,0.00278685913859676,0.132502026867106,"ok",
2015-05-13,"2015-Q1",1,43,0.400088126752696,0,0.0873537673818193,53.3,2015-03-31,2015-03-26,3,66,10,0.189032246285982,0.195224273581682,52.740404040404,4.64439931126136,0.0102020264803121,0.000284697924519214,0.0490640089423517,"ok",
2015-08-14,"2015-Q2",1,45,0.311294865911771,0,0.120130703562686,53.9,2015-06-30,2015-06-26,3,67,10,0.187514657048607,0.194137479076127,52.7487562189055,4.60958717068186,0.00713095861427954,0.000212237823394353,0.032655723127194,"ok",
2015-11-13,"2015-Q3",1,44,0.297431404824255,0,0.237167245956238,53.9333333333333,2015-09-30,2015-09-26,3,68,10,0.186523716556167,0.19285644012378,52.7656862745098,4.57718754156464,0.0122500001386641,0.000412329122904176,0.056570972798914,"ok",
2016-02-12,"2015-Q4",1,43,0.266994092463779,0,0.221323201714759,54.1333333333333,2015-12-31,2015-12-26,3,69,11,0.187257680750371,0.191530186218871,52.7826086956522,4.54558109307425,0.013723054235659,0.000432014572589237,0.0588487913205576,"ok",
2016-04-29,"2016-Q1",1,29,0.550439179495776,0,0.27328894299173,53.2333333333333,2016-03-31,2016-03-26,3,70,11,0.187744331049862,0.190180810746937,52.8019047619048,4.51540888672429,0.0355886547149932,0.00178107228168609,0.126538141813995,"ok",
2016-07-29,"2016-Q2",1,29,0.288880405335501,0,0.210287844889508,53.0666666666667,2016-06-30,2016-06-26,3,71,9,0.188949184739184,0.189090225080137,52.8079812206573,4.48333232355709,0.0160793291722527,0.000969316913826222,0.0626698412549909,"ok",
2016-10-31,"2016-Q3",1,31,0.340655549385027,0,0.245755884140925,52.9,2016-09-30,2016-09-26,3,72,9,0.18924555501905,0.187770722482452,52.8115740740741,4.45175198836972,0.0196204871364491,0.00146063553549116,0.0704288808980338,"ok",
2017-01-31,"2016-Q4",1,31,0.500806818359889,0,0.165204716101735,53.8666666666667,2016-12-30,2016-12-26,3,73,9,0.19001966911661,0.186579466670793,52.8127853881279,4.42074106315195,0.00999567185191613,0.000348768220207859,0.042570502348932,"ok",
2017-05-03,"2017-Q1",1,33,0.455026922190727,0,0.0922248121054968,55.6,2017-03-31,2017-03-26,3,74,9,0.189684331913706,0.18531957115608,52.827027027027,4.39206658408271,0.00292879415927958,2.88324784547577e-05,0.0156445716603981,"ok",
