"quarter","latest_vintage_date","gdp_growth_latest","recession_latest","ciss_latest","pmi_latest","ciss_last_date_latest","pmi_last_release_date_latest","pmi_months_available_latest","prob_recession_latest","lower_95_latest","upper_95_latest","real_time_vintage_date","real_time_release_round","days_after_quarter_end","gdp_growth_real_time","recession_real_time","ciss_real_time","pmi_real_time","ciss_last_date_real_time","pmi_last_release_date_real_time","pmi_months_available_real_time","training_observations_real_time","training_recessions_real_time","prob_recession_real_time","lower_95_real_time","upper_95_real_time","growth_revision","classification_revised","probability_revision","absolute_probability_revision"
"2000-Q3",2026-05-13,0.672246359065909,0,0.139376360370429,60.0333333333333,2000-09-29,2000-09-26,3,0.00100379431195645,5.04411610217808e-06,0.00628903252209393,,,,,,,,,,,,,,,,,,,
"2000-Q4",2026-05-13,0.475107578673373,0,0.21526873917178,56.6,2000-12-29,2000-12-26,3,0.00422540831357573,0.000104744556541484,0.0197644715561126,,,,,,,,,,,,,,,,,,,
"2001-Q1",2026-05-13,1.10102192695398,0,0.214464148871117,54.1666666666667,2001-03-30,2001-03-26,3,0.0119841843295291,0.000941028087688189,0.043434761880501,,,,,,,,,,,,,,,,,,,
"2001-Q2",2026-05-13,0.0447517888908733,0,0.224594371530455,51.6,2001-06-29,2001-06-26,3,0.0403075198361114,0.00795763253571349,0.101239816933959,,,,,,,,,,,,,,,,,,,
"2001-Q3",2026-05-13,0.21236907497213,0,0.166768892052641,49.8,2001-09-28,2001-09-26,3,0.0945528902991928,0.0330263044863967,0.184334152306003,,,,,,,,,,,,,,,,,,,
"2001-Q4",2026-05-13,-0.0554168893680762,0,0.177355048413404,46.4333333333333,2001-12-31,2001-12-26,3,0.408893388392262,0.16971324979044,0.674251580750878,,,,,,,,,,,,,,,,,,,
"2002-Q1",2026-05-13,0.225114545518323,0,0.0990823357470997,51.4666666666667,2002-03-29,2002-03-26,3,0.0399452128308324,0.008918427362222,0.0967766773088897,,,,,,,,,,,,,,,,,,,
"2002-Q2",2026-05-13,0.465083124456878,0,0.0455625164710321,53.1,2002-06-28,2002-06-26,3,0.0174769685749204,0.00215105518167476,0.052230864630023,,,,,,,,,,,,,,,,,,,
"2002-Q3",2026-05-13,0.459880145578606,0,0.119179424104307,51.2,2002-09-30,2002-09-26,3,0.0459824712233233,0.0113073728621474,0.107895393808024,,,,,,,,,,,,,,,,,,,
"2002-Q4",2026-05-13,0.186471650707931,0,0.137036904603903,50.7,2002-12-31,2002-12-26,3,0.059534445477997,0.0166900506118884,0.132707038171628,,,,,,,,,,,,,,,,,,,
