"vintage_date","target_quarter","release_round","days_after_quarter_end","gdp_growth_vintage","recession_vintage","ciss_as_of","esi_as_of","ciss_last_date","esi_last_release_date","esi_months_available","training_observations","training_recessions","ciss_training_mean","ciss_training_sd","esi_training_mean","esi_training_sd","prob_recession","lower_95","upper_95","status","error_message"
2014-11-14,"2014-Q3",1,45,0.161347516532917,0,0.0129784056448137,97.8666666666667,2014-09-30,2014-09-29,3,66,10,0.188932941253229,0.195313394226502,99.6580808080808,10.3638413341872,0.0218197834428748,0.00137434810598128,0.0849138841180082,"ok",
2015-02-13,"2014-Q4",1,44,0.339919441124859,0,0.0232098560842145,97.8333333333333,2014-12-31,2014-12-29,3,67,9,0.186306754154596,0.195016465378968,99.6313432835821,10.2873559746611,0.0310526522310721,0.00256794390142262,0.0971210560797667,"ok",
2015-05-13,"2015-Q1",1,43,0.400088126752696,0,0.0873537673818193,101.333333333333,2015-03-31,2015-03-29,3,68,10,0.183908270359443,0.194563547138815,99.6049019607843,10.212623906466,0.0124366252555201,0.000425309827726223,0.0490420347212261,"ok",
2015-08-14,"2015-Q2",1,45,0.311294865911771,0,0.120130703562686,103.166666666667,2015-06-30,2015-06-29,3,69,10,0.182508929736579,0.19347711937408,99.6299516908213,10.1393882595883,0.00882818462962879,0.000277811739637542,0.0388719099221923,"ok",
2015-11-13,"2015-Q3",1,44,0.297431404824255,0,0.237167245956238,103.666666666667,2015-09-30,2015-09-29,3,70,10,0.181617812219809,0.192214643224268,99.6804761904762,10.0745186334575,0.014241492643894,0.000519028601063834,0.0584311479566944,"ok",
2016-02-12,"2015-Q4",1,43,0.266994092463779,0,0.221323201714759,105.033333333333,2015-12-31,2015-12-29,3,71,11,0.182400198610463,0.190950578657931,99.7366197183099,10.0134800492225,0.0153890037523433,0.000516603718689074,0.0624045358675594,"ok",
2016-04-29,"2016-Q1",1,29,0.550439179495776,0,0.27328894299173,104.233333333333,2016-03-31,2016-03-29,3,72,11,0.182940795875801,0.189656568891689,99.8101851851852,9.9622882635297,0.0258896154352288,0.00108495078605476,0.0942411019430861,"ok",
2016-07-29,"2016-Q2",1,29,0.288880405335501,0,0.210287844889508,104.2,2016-06-30,2016-06-29,3,73,9,0.184178441726704,0.18863153278082,99.8707762557078,9.90639982880109,0.00816550757881656,0.00027397296159766,0.0367127587199228,"ok",
2016-10-31,"2016-Q3",1,31,0.340655549385027,0,0.245755884140925,104,2016-09-30,2016-09-29,3,74,9,0.184531271499174,0.187359666579028,99.9292792792793,9.85117714296423,0.00971582871238246,0.000227720437716735,0.0425647677185787,"ok",
2017-01-31,"2016-Q4",1,31,0.500806818359889,0,0.165204716101735,106.633333333333,2016-12-30,2016-12-29,3,75,9,0.185347599667731,0.18622365709012,99.9835555555556,9.79567284092351,0.00379093606258198,4.08833980123191e-05,0.0204999897759202,"ok",
2017-05-03,"2017-Q1",1,33,0.455026922190727,0,0.0922248121054968,108.5,2017-03-31,2017-03-29,3,76,9,0.185082561726073,0.184992429797233,100.071052631579,9.7600020371966,0.00208612052718816,1.28143450364386e-05,0.012387355335793,"ok",
2017-08-01,"2017-Q2",1,32,0.561155338791841,0,0.0368645976749952,110.333333333333,2017-06-30,2017-06-29,3,77,9,0.183876616925806,0.184075767849589,100.180519480519,9.74304572900417,0.00140763957597701,6.54890011058263e-06,0.00872065219143839,"ok",
2017-10-31,"2017-Q3",1,31,0.584607521374814,0,0.0069620055242479,112.3,2017-09-29,2017-09-29,3,78,9,0.181991847448231,0.183632572215856,100.310683760684,9.74759746710216,0.000874856742105719,1.74732255618317e-06,0.00623276533905289,"ok",
2018-01-30,"2017-Q4",1,30,0.561548325834749,0,0.00476465518677911,114.9,2017-12-29,2017-12-29,3,79,9,0.17977627982894,0.183511287177028,100.462447257384,9.77839697984296,0.000438045065416081,7.15065454059966e-07,0.00330391031912104,"ok",
2018-05-02,"2018-Q1",1,32,0.415132402969198,0,0.0145863623524315,114.1,2018-03-30,2018-03-29,3,80,9,0.177588634520913,0.183392945423838,100.642916666667,9.84947926222448,0.000539922688976687,6.20303565225898e-07,0.0037770686063244,"ok",
2018-07-31,"2018-Q2",1,31,0.345810840661653,0,0.0306091998780336,112.433333333333,2018-06-29,2018-06-29,3,81,9,0.175576260790438,0.183140879560954,100.809053497942,9.90127799319315,0.000822167607067388,9.78570497596521e-07,0.0054284747492986,"ok",
2018-10-30,"2018-Q3",1,30,0.155035219306798,0,0.019197643504814,111.033333333333,2018-09-28,2018-09-29,3,82,10,0.173808369803701,0.182709568633791,100.95081300813,9.92334851225839,0.000793705208082253,1.95414839958886e-06,0.0053289113128926,"ok",
