"comparison","observations","recession_rate","brier_score","log_score","auc"
"Real-time probability vs contemporaneous GDP-vintage outcome",47,0.0425531914893617,0.0242573706108731,0.121733133909349,0.766666666666667
"Real-time probability vs latest-vintage outcome",47,0.0638297872340425,0.0446150782935895,0.203906055929074,0.689393939393939
"Latest-vintage in-sample probability vs latest-vintage outcome",113,0.0973451327433628,0.0590319504953526,0.201557289153802,0.906417112299465
"Latest-vintage probability on the common real-time sample",47,0.0638297872340425,0.0425059357413986,0.177261328252233,0.742424242424242
