"quarter","latest_vintage_date","gdp_growth_latest","recession_latest","ciss_latest","esi_latest","ciss_last_date_latest","esi_last_release_date_latest","esi_months_available_latest","prob_recession_latest","lower_95_latest","upper_95_latest"
"1998-Q1",2026-05-13,0.713905047012742,0,0.019971421875,112.5,1998-03-31,1998-03-29,3,0.00571574079544512,0.000339346478036307,0.0232506871830754
"1998-Q2",2026-05-13,0.391230439980816,0,0.00966270769230769,111.7,1998-06-30,1998-06-29,3,0.0062591699687381,0.000406628495551682,0.0241664572829598
"1998-Q3",2026-05-13,0.527894548468266,0,0.108029757575758,111.966666666667,1998-09-30,1998-09-29,3,0.00727408911869657,0.00041853909493859,0.0282704776966733
"1998-Q4",2026-05-13,0.303446562507492,0,0.259969,109,1998-12-31,1998-12-29,3,0.0153454074555652,0.00115078208584007,0.0556290636865214
"1999-Q1",2026-05-13,1.00143379713413,0,0.135954483259366,105.366666666667,1999-03-31,1999-03-29,3,0.0191232680848734,0.00296999468907523,0.053612101864346
"1999-Q2",2026-05-13,0.480708739656488,0,0.0500497832122544,104.033333333333,1999-06-30,1999-06-29,3,0.020106011732596,0.00345972847021537,0.0544806940736739
"1999-Q3",2026-05-13,1.31199153485897,0,0.163196959413004,107.233333333333,1999-09-30,1999-09-29,3,0.0155150902690363,0.00177137220995577,0.0474145525871749
"1999-Q4",2026-05-13,1.05991304351936,0,0.185673824672592,114.6,1999-12-31,1999-12-29,3,0.0062198552732476,0.000226579742506307,0.02732630093857
"2000-Q1",2026-05-13,1.27816692528053,0,0.187231301597962,117.966666666667,2000-03-31,2000-03-29,3,0.00416222051815352,8.35853282025799e-05,0.0213624419716427
"2000-Q2",2026-05-13,0.905532566982203,0,0.270015671518326,117.433333333333,2000-06-30,2000-06-29,3,0.00558516042362108,9.67421418098723e-05,0.0273954138503131
"2000-Q3",2026-05-13,0.672246359065909,0,0.139376360370429,116.533333333333,2000-09-29,2000-09-29,3,0.00437627594198183,0.000119238296150073,0.0205746102236088
"2000-Q4",2026-05-13,0.475107578673373,0,0.21526873917178,115.566666666667,2000-12-29,2000-12-29,3,0.0059688750298189,0.000169396896835676,0.0271331209669954
"2001-Q1",2026-05-13,1.10102192695398,0,0.214464148871117,111.2,2001-03-30,2001-03-29,3,0.010270305615728,0.000590648208657462,0.0390902556042333
"2001-Q2",2026-05-13,0.0447517888908733,0,0.224594371530455,103.7,2001-06-29,2001-06-29,3,0.029146573993702,0.00492556697911772,0.0793057047972706
